adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,status,tagline,title,video,vote_average,vote_count,filename
False,356000000,299534,tt4154796,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",235.886,2019-04-24,2797800564,Released,Part of the journey is the end.,Avengers: Endgame,False,8.3,15726,endgame.csv
False,63000000,603,tt0133093,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",60.168,1999-03-30,463517383,Released,Welcome to the Real World.,The Matrix,False,8.1,18067,the_matrix.csv
False,150000000,604,tt0234215,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",47.752,2003-05-15,738599701,Released,Free your mind.,The Matrix Reloaded,False,6.9,7307,the_matrix.csv
False,150000000,605,tt0242653,en,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,35.021,2003-11-03,424988211,Released,Everything that has a beginning has an end.,The Matrix Revolutions,False,6.6,6561,the_matrix.csv
False,0,586592,tt8816194,en,"After receiving a cryptic letter from his estranged father, Norval travels to his dad’s oceanfront home for what he hopes will be a positive experience. If only he’d known the dark truth about his old man beforehand.",18.766,2019-09-05,57998,Released,From The Team Behind The Witch And The Greasy Strangler,Come to Daddy,False,5.9,188,come_to_daddy.csv
False,0,624860,tt10838180,en,The fourth installment in The Matrix franchise. Plot unknown.,18.39,2021-12-22,0,In Production,,The Matrix 4,False,0.0,0,the_matrix.csv
False,0,14543,tt0295432,en,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,15.297,2001-11-19,0,Released,,The Matrix Revisited,False,6.9,128,the_matrix.csv
False,25000000,12211,tt0144964,en,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",12.823,2000-09-01,15843608,Released,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,False,4.8,240,endgame.csv
False,0,400605,tt5481404,en,Investigative reporter Chase Carter must stop a secret government conspiracy in the zombie infested quarantine zone of East Mission City.,11.300999999999998,2016-06-20,0,Released,,Dead Rising: Endgame,False,4.9,112,endgame.csv
False,0,41135,tt1268987,en,A battle ensues among two government spy teams in an underground facility after their boss is assassinated.,9.987,2010-07-20,0,Released,Two rival teams of assassins. One killer day at the office.,Operation: Endgame,False,5.1,120,endgame.csv
False,0,591955,tt1830850,en,The making of The Matrix Reloaded:  Go to the middle movies furthest reaches via five documentary paths revealing 21 featurettes,6.509,2004-12-07,0,Released,,The Matrix Reloaded Revisited,False,7.4,5,the_matrix.csv
False,0,376651,tt2941396,en,"Since he was 5 yrs old, Jose's abuelita taught him to play chess like his grandfather who was a champion in Mexico. Now as part of the Brownsville school team, Jose has the chance to use his skills and for once in his life, finds himself in the spotlight, as he tries to help his team make it to the Texas state finals. As their coach, Mr. Alvarado, teaches his students the meaning of perseverance and team effort in the face of adversity, Jose discovers his own strengths and uses them to bring his broken family together.",6.405,2015-09-25,0,Released,,Endgame,False,6.0,7,endgame.csv
False,0,290656,tt2350852,en,"When a group of friends come across an abandoned house in the barren desert, what follows is a terrifying tale of evil possession causing the friends to slowly turn against each other.",6.335,2014-08-18,0,Released,,Raised by Wolves,False,4.1,10,raised_by_wolves.csv
False,0,221495,tt0410519,en,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",5.4110000000000005,2004-04-06,0,Released,,The Matrix Recalibrated,False,6.7,25,the_matrix.csv
