New header,#,New header,Name,Market CapMCap,"Price
Price",Change,7D Prediction,Volume,Transparent Volume,Circulating Supply,Price,CSV Data,New header
,1,,"Bitcoin
BTC","$340,044,809,796$340.04B","$18,330.15$18,330
-2.86%",-2.86%,Unlock,"$32,068,247,29532.07B USD
1,749,481 BTC1.75M BTC",$5.38B17%,"Sply:18,551,118",,Buy Data,
,2,,"Ethereum
ETH","$61,032,301,221$61.03B","$537.58$537.58
-0.36%",-0.36%,—,"$17,752,286,17017.75B USD
33,022,806 ETH33.02M ETH",$2.57B14%,"Sply:113,532,297",,Buy Data,
,3,,"Ripple
XRP","$19,800,287,027$19.80B","$0.436821$0.436821
5.44%",5.44%,—,"$14,877,609,23514.88B USD
34.06B XRP34.06B XRP",$2.49B17%,"Sply:45,328,155,123",,Buy Data,
,4,,"Tether
USDT","$18,475,616,256$18.48B","$1.0000$1.0000
-0.56%",-0.56%,—,"$65,262,997,48465.26B USD
65.26B USDT65.26B USDT",$7.52B12%,"Sply:18,475,594,248",,Buy Data,
,5,,"ChainLink
LINK","$5,632,014,049$5.63B","$14.31$14.31
-5.27%",-5.27%,—,"$1,869,014,1311.87B USD
130,588,261 LINK130.59M LINK",$369.85M20%,"Sply:393,509,556",,Buy Data,
,6,,"Litecoin
LTC","$5,452,346,606$5.45B","$82.71$82.71
-2.75%",-2.75%,—,"$4,540,258,4284.54B USD
54,896,414 LTC54.90M LTC",$488.17M11%,"Sply:65,924,502",,Buy Data,
,7,,"Bitcoin Cash
BCH","$5,217,849,916$5.22B","$280.84$280.84
-4.95%",-4.95%,—,"$4,487,613,6204.49B USD
15,979,323 BCH15.98M BCH",$301.85M7%,"Sply:18,579,521",,Buy Data,
,8,,"Polkadot
DOT","$5,078,683,294$5.08B","$5.4384$5.4384
-4.22%",-4.22%,—,"$969,690,467969.69M USD
178,303,427 DOT178.30M DOT",$92.54M10%,"Sply:933,851,229",,Buy Data,
,9,,"Binance Coin
BNB","$4,402,937,393$4.40B","$29.77$29.77
-1.88%",-1.88%,—,"$496,617,705496.62M USD
16,680,180 BNB16.68M BNB",$152.70M31%,"Sply:147,883,948",,Buy Data,
,10,,"Cardano
ADA","$4,168,343,690$4.17B","$0.133977$0.133977
4.20%",4.20%,—,"$1,455,894,8851.46B USD
10.87B ADA10.87B ADA",$313.98M22%,"Sply:31,112,484,646",,Buy Data,
,11,,"Bitcoin SV
BSV","$3,292,345,606$3.29B","$177.22$177.22
-7.86%",-7.86%,—,"$1,235,382,0401.24B USD
6,970,818 BSV6.97M BSV",$68.32M6%,"Sply:18,577,527",,Buy Data,
,12,1,"USD Coin
USDC","$2,897,270,835$2.90B","$1.0006$1.0006
-0.22%",-0.22%,—,"$576,945,347576.95M USD
576,617,264 USDC576.62M USDC",$148.08M26%,"Sply:2,895,623,277",,Buy Data,
,13,1,"EOS
EOS","$2,861,527,566$2.86B","$3.0198$3.0198
-3.97%",-3.97%,—,"$4,305,805,4104.31B USD
1.43B EOS1.43B EOS",$278.94M6%,"Sply:947,602,201",,Buy Data,
,14,,"Wrapped Bitcoin
WBTC","$2,283,598,070$2.28B","$18,377.53$18,378
-2.48%",-2.48%,—,"$53,561,49853.56M USD
2,915 WBTC2,915 WBTC",$6.63M12%,"Sply:124,260",,Buy Data,
,15,,"Monero
XMR","$2,197,680,057$2.20B","$123.72$123.72
-3.96%",-3.96%,—,"$600,751,481600.75M USD
4,855,928 XMR4.86M XMR",$39.36M7%,"Sply:17,764,045",,Buy Data,
,16,,"Stellar
XLM","$2,151,460,408$2.15B","$0.102343$0.102343
-0.81%",-0.81%,—,"$610,067,350610.07M USD
5.96B XLM5.96B XLM",$162.53M27%,"Sply:21,022,140,436",,Buy Data,
,17,,"TRON
TRX","$2,026,905,067$2.03B","$0.028285$0.028285
-3.42%",-3.42%,—,"$1,500,692,6671.50B USD
53.06B TRX53.06B TRX",$169.85M11%,"Sply:71,660,220,128",,Buy Data,
,18,1,"Compound Dai
CDAI","$1,758,341,889$1.76B","$0.021602$0.021602
4.40%",4.40%,—,"$8,069,2578.07M USD
373,542,316 CDAI373.54M CDAI",0%,"Sply:81,397,210,364",,Buy Data,
,19,1,"OKEx Utility Token
OKB","$1,706,533,100$1.71B","$6.1940$6.1940
5.20%",5.20%,—,"$174,804,128174.80M USD
28,221,337 OKB28.22M OKB","$40,662<1%","Sply:275,512,058",,Buy Data,
,20,2,"Tezos
XTZ","$1,696,754,143$1.70B","$2.2597$2.2597
-2.74%",-2.74%,—,"$298,397,258298.40M USD
132,051,655 XTZ132.05M XTZ",$73.14M25%,"Sply:750,875,508",,Buy Data,
,21,1,"HEX
HEX","$1,580,940,070$1.58B","$0.004146$0.004146
-7.28%",-7.28%,—,"$4,723,1944.72M USD
1.14B HEX1.14B HEX","$15,759<1%","Sply:381,354,052,169",,Buy Data,
,22,1,"Crypto.com Chain
CRO","$1,544,002,945$1.54B","$0.070778$0.070778
-3.56%",-3.56%,—,"$56,699,74156.70M USD
801,088,433 CRO801.09M CRO",$2.29M4%,"Sply:21,814,611,871",,Buy Data,
,23,,"Cosmos
ATOM","$1,299,771,580$1.30B","$5.4492$5.4492
-5.45%",-5.45%,—,"$415,092,543415.09M USD
76,175,250 ATOM76.18M ATOM",$28.57M7%,"Sply:238,526,147",,Buy Data,
,24,1,"UNUS SED LEO
LEO","$1,259,001,608$1.26B","$1.2924$1.2924
0.93%",0.93%,—,"$16,787,97016.79M USD
12,989,270 LEO12.99M LEO","$618,0854%","Sply:974,120,901",,Buy Data,
,25,1,"NEO
NEO","$1,212,381,773$1.21B","$17.19$17.19
-3.94%",-3.94%,—,"$573,044,553573.04M USD
33,336,721 NEO33.34M NEO",$39.85M7%,"Sply:70,530,000",,Buy Data,
,26,5,"Celsius
CEL","$1,199,642,002$1.20B","$2.3403$2.3403
1.35%",1.35%,—,"$6,420,8226.42M USD
2,743,566 CEL2.74M CEL",$1.54M24%,"Sply:512,597,457",,Buy Data,
,27,1,"NEM
XEM","$1,168,798,834$1.17B","$0.129867$0.129867
-6.01%",-6.01%,—,"$49,234,68149.23M USD
379,117,519 XEM379.12M XEM",$11.41M23%,"Sply:8,999,999,999",,Buy Data,
,28,1,"Filecoin
FIL","$1,130,325,572$1.13B","$28.96$28.96
-4.39%",-4.39%,—,"$295,779,412295.78M USD
10,214,456 FIL10.21M FIL",$33.33M11%,"Sply:39,034,702",,Buy Data,
